n_estimators,max_samples,contamination,mean_anomaly_score,score_std,score_gap_p50_p01,predicted_anomaly_rate
50,auto,0.01,-0.3233455897978161,0.009741406119122425,0.027260382537901973,0.0093
50,auto,0.05,-0.3233455897978161,0.009741406119122425,0.027260382537901973,0.0499
50,0.7,0.01,-0.30692058488001456,0.00662219414137771,0.022862173652912987,0.01
50,0.7,0.05,-0.30692058488001456,0.00662219414137771,0.022862173652912987,0.05
50,0.9,0.01,-0.29883747581042397,0.006468491850875589,0.023286840143245446,0.01
50,0.9,0.05,-0.29883747581042397,0.006468491850875589,0.023286840143245446,0.0499
100,auto,0.01,-0.3247823739373156,0.007965530236785532,0.020259415270317105,0.0099
100,auto,0.05,-0.3247823739373156,0.007965530236785532,0.020259415270317105,0.05
100,0.7,0.01,-0.3062351353919798,0.00493083231832016,0.01645484208300335,0.01
100,0.7,0.05,-0.3062351353919798,0.00493083231832016,0.01645484208300335,0.05
100,0.9,0.01,-0.299278845289327,0.00497182426145153,0.01714989864593225,0.01
100,0.9,0.05,-0.299278845289327,0.00497182426145153,0.01714989864593225,0.05
