unique_key,created_date,closed_date,agency,complaint_type,descriptor,location_type,incident_zip,city,borough,latitude,longitude,anomaly_score,anomaly
68640648,2026-04-12T19:26:17.000,,DOHMH,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11367.0,FLUSHING,QUEENS,40.72841946827458,-73.82473094253068,-0.33301341811599927,1
68641547,2026-04-13T00:46:39.000,,TLC,Taxi Complaint,Driver Complaint - Non Passenger,Highway,11415.0,KEW GARDENS,QUEENS,40.714855607112455,-73.82705000738547,-0.32948616296130084,1
68642891,2026-04-12T12:23:49.000,,DSNY,Missed Collection,Recycling - Paper,Street,11367.0,FLUSHING,QUEENS,40.72220421117936,-73.8186936326967,-0.3276176278297723,1
68647598,2026-04-13T01:26:53.000,,DOT,Highway Condition,Crash Cushion Defect,Highway,,,MANHATTAN,,,-0.32638819415844894,1
68642813,2026-04-12T07:53:48.000,,DOT,Street Sign - Damaged,One Way,Street,11418.0,RICHMOND HILL,QUEENS,40.7072951100529,-73.83545195035886,-0.3262141798942107,1
68640490,2026-04-12T11:29:00.000,2026-04-12T23:40:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,Street,11417.0,OZONE PARK,QUEENS,40.67638113868592,-73.86071401361735,-0.326103504558464,1
68630754,2026-04-12T01:23:26.000,,DOT,Street Sign - Damaged,School Crossing,Street,11419.0,SOUTH RICHMOND HILL,QUEENS,40.69376528465951,-73.81672629531177,-0.32553946883925217,1
68646731,2026-04-12T11:20:04.000,2026-04-12T11:20:04.000,DOB,General Construction/Plumbing,Site Conditions Endangering Workers,,,,BRONX,,,-0.32411625056213283,1
68640415,2026-04-12T18:32:21.000,,TLC,Lost Property,Other,Taxi,10009.0,NEW YORK,MANHATTAN,40.72323702553289,-73.97862071340884,-0.3239563210521971,1
68647534,2026-04-12T15:12:55.000,,DSNY,Missed Collection,Compost,Street,11367.0,FLUSHING,QUEENS,40.725850324571816,-73.81937281401028,-0.32392025286204457,1
68645292,2026-04-12T15:16:19.000,,DSNY,Missed Collection,Trash,Street,11367.0,FLUSHING,QUEENS,40.725850324571816,-73.81937281401028,-0.3228803314784776,1
68642812,2026-04-12T12:22:29.000,,DOT,Street Sign - Damaged,Bus Stop,Street,10309.0,,STATEN ISLAND,40.5415536263066,-74.20988735978818,-0.32249423371365815,1
68630806,2026-04-12T01:54:59.000,2026-04-12T11:50:56.000,DHS,Homeless Person Assistance,Non-Chronic,Other,10035.0,NEW YORK,MANHATTAN,40.80142299698456,-73.93837295553213,-0.32240985454240056,1
68639336,2026-04-13T00:01:00.000,2026-04-13T02:27:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,Street,10457.0,BRONX,BRONX,40.84919595133612,-73.8886721043415,-0.3220831998914508,1
68639830,2026-04-12T20:24:49.000,2026-04-12T20:30:41.000,NYPD,Noise - Commercial,Loud Music/Party,Store/Commercial,11367.0,FLUSHING,QUEENS,40.738622102669495,-73.83047417483526,-0.32205869297147915,1
68645206,2026-04-12T04:24:40.000,,DOT,Street Sign - Damaged,One Way,Street,11234.0,,BROOKLYN,40.61937091269366,-73.92013432537874,-0.32196401269406927,1
68639357,2026-04-12T11:25:14.000,2026-04-12T18:16:29.000,DOHMH,Indoor Air Quality,Sewage Odor,3+ Family Apt. Building,10473.0,BRONX,BRONX,40.82157261566661,-73.85817363973848,-0.3217950181353238,1
68639188,2026-04-12T15:03:31.000,,DOHMH,Food Establishment,Dishwashing/Utensils,Restaurant/Bar/Deli/Bakery,10458.0,BRONX,BRONX,40.85545259532958,-73.88734942883849,-0.3210884243376903,1
68642916,2026-04-13T00:12:52.000,,NYPD,Illegal Parking,Paper License Plates,Street/Sidewalk,11367.0,FLUSHING,QUEENS,40.7314646004878,-73.81496646151555,-0.32091544837302266,1
68642706,2026-04-12T19:01:43.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,Public/Unfenced Area,10314.0,STATEN ISLAND,STATEN ISLAND,40.60671533556141,-74.16824730382977,-0.32065368877300504,1
68639319,2026-04-12T17:52:58.000,,DOT,Street Sign - Damaged,Street Cleaning - ASP,Street,11104.0,SUNNYSIDE,QUEENS,40.7425560864676,-73.91975930802745,-0.3201048902613503,1
68644130,2026-04-12T07:41:04.000,,DSNY,Dead Animal,Raccoon,Street,11418.0,RICHMOND HILL,QUEENS,40.7005723680458,-73.83681737047098,-0.31987878369907385,1
68644023,2026-04-12T13:09:54.000,,DOT,Street Sign - Dangling,One Way,Street,11691.0,FAR ROCKAWAY,QUEENS,40.60527792268112,-73.7443948692102,-0.3197597338821344,1
68641382,2026-04-12T21:37:34.000,,HPD,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10303.0,STATEN ISLAND,STATEN ISLAND,40.63259356639627,-74.16036473414887,-0.3195608739134361,1
68640625,2026-04-12T23:18:55.000,,DOHMH,Rodent,Condition Attracting Rodents,1-2 Family Mixed Use Building,11377.0,WOODSIDE,QUEENS,40.73674365797862,-73.89994513189103,-0.319506560405015,1
